run_id,response
10,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
10,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
10,"{""instructions3"":""One""}"
11,"{""instructions1"":""To collect water and bring it back.""}"
11,"{""instructions2"":""When all 8 people collect the water and store it.""}"
11,"{""instructions3"":""1""}"
13,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
13,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
13,"{""instructions3"":""1""}"
14,"{""instructions1"":""bring water from the source to the wooden buckets""}"
14,"{""instructions2"":""after  ppl have carried water to the storage""}"
14,"{""instructions3"":""one""}"
15,"{""instructions1"":""Collect water faster to get more points and win the game ""}"
15,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket. ""}"
15,"{""instructions3"":""One person""}"
17,"{""instructions1"":""collect water fast so they can collect more points""}"
17,"{""instructions2"":""When all 8 people have collected water and store it in a wooden storage bucket.""}"
17,"{""instructions3"":""The specific person we are shown an image of""}"
18,"{""instructions1"":""collect a bucket of water as fast as possible""}"
18,"{""instructions2"":""when all 8 people collect water and put it in the bucket""}"
18,"{""instructions3"":""1""}"
25,"{""instructions1"":""To collect a bucket of water""}"
25,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
25,"{""instructions3"":""1""}"
20,"{""instructions1"":""To collect one bucket of water from a source and bring it back to a wooden storage bucket.""}"
20,"{""instructions2"":""When all 8 people collect a bucket of water and bring it back to the wooden storage.""}"
20,"{""instructions3"":""Only one. I will be shown the specific person to watch during each video.""}"
19,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
19,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
19,"{""instructions3"":""1""}"
23,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
23,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
23,"{""instructions3"":""1""}"
2,"{""instructions1"":""collects the bucket of water fastly""}"
2,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
2,"{""instructions3"":""1""}"
21,"{""instructions1"":""get water""}"
21,"{""instructions2"":""when all the people collect the water""}"
21,"{""instructions3"":""one""}"
31,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each level. The faster a person collects the bucket of water, the more points they receive.""}"
31,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
31,"{""instructions3"":""1""}"
33,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets""}"
33,"{""instructions2"":""All 8 people collect water and store it in a wooden storage bucket.""}"
33,"{""instructions3"":""1""}"
35,"{""instructions1"":""To collect water and bring it back to storage for points.""}"
35,"{""instructions2"":""Each video ends when all 8 people collect water and store it in a wooden storage bucket.""}"
35,"{""instructions3"":""8 people are focused on to judge in each video.""}"
28,"{""instructions1"":""Collect a bucket of water.""}"
28,"{""instructions2"":""When all players have deposited their water in the buckets.""}"
28,"{""instructions3"":""1""}"
27,"{""instructions1"":""to collect water""}"
27,"{""instructions2"":""when all people store their water""}"
27,"{""instructions3"":""1""}"
37,"{""instructions1"":""Each person needs to collect one bucket of water for each level.""}"
37,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
37,"{""instructions3"":""one""}"
36,"{""instructions1"":""They collect bucket of water to earn points.""}"
36,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
36,"{""instructions3"":""one person""}"
4,"{""instructions1"":""Collect water and bring it to the wooden storage buckets""}"
4,"{""instructions2"":""When all 8 people collect water and store it in a bucket""}"
4,"{""instructions3"":""one""}"
38,"{""instructions1"":""collect a bucket of water and get points""}"
38,"{""instructions2"":""when all 8 people collect and store a bucket of water""}"
38,"{""instructions3"":""1""}"
40,"{""instructions1"":""to collect water and fill up their buckets as fast as possible""}"
40,"{""instructions2"":""When all the people store their water in a bucket""}"
40,"{""instructions3"":""one""}"
41,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets. The faster a person collects the bucket of water the more points they earn.""}"
41,"{""instructions2"":""The video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
41,"{""instructions3"":""I will focus on one person in each video as indicated by the image shown to me.""}"
42,"{""instructions1"":""to collect buckets of water and deposit them quickly for points depending on how fast you were""}"
42,"{""instructions2"":""after all eight people have stored tthe water they collected""}"
42,"{""instructions3"":""1""}"
46,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
46,"{""instructions2"":""After all 8 people collect water and store it in a wooden storage bucket.""}"
46,"{""instructions3"":""One""}"
45,"{""instructions1"":""collect one bucket of water for each level""}"
45,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
45,"{""instructions3"":""one""}"
52,"{""instructions1"":"" Each person needs to collect one bucket of water for each level.""}"
52,"{""instructions2"":""each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
52,"{""instructions3"":""1""}"
47,"{""instructions1"":""to collect water from a water source and bring it back to a storage bucket""}"
47,"{""instructions2"":""When all 8 people collect water and store it in the bucket""}"
47,"{""instructions3"":""one""}"
57,"{""instructions1"":""To bring water back from the water source to the the wooden storage buckets. ""}"
57,"{""instructions2"":""When all 8 people collect the water and store it in a wooden storage bucket. ""}"
57,"{""instructions3"":""one""}"
49,"{""instructions1"":""to collect water""}"
49,"{""instructions2"":""when all 8 people collected water and store it""}"
49,"{""instructions3"":""1""}"
53,"{""instructions1"":""Collect water and bring it back to buckets.""}"
53,"{""instructions2"":""When all 8 people collect water and store it in a bucket.""}"
53,"{""instructions3"":""One""}"
56,"{""instructions1"":""collect water from a source and bring it back to the buckets""}"
56,"{""instructions2"":""when all 8 people have collected and stored water""}"
56,"{""instructions3"":""1""}"
58,"{""instructions1"":""collect water from a water and bring it back to a wooden storage buckets. Each person needs to collect one bucket of water for each level""}"
58,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
58,"{""instructions3"":""1""}"
60,"{""instructions1"":""collect water and store in bucket being as fast as possible""}"
60,"{""instructions2"":""after everyone has stored water""}"
60,"{""instructions3"":""one""}"
6,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
6,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
6,"{""instructions3"":""1""}"
59,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage bucket""}"
59,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
59,"{""instructions3"":""1""}"
64,"{""instructions1"":""Collect water from a water source and bring it to a storage bucket.""}"
64,"{""instructions2"":""When all 8 people collect water and store it in a storage bucket.""}"
64,"{""instructions3"":""One""}"
65,"{""instructions1"":""collect water and bring it to a wooden storage bucket""}"
65,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
65,"{""instructions3"":""one""}"
71,"{""instructions1"":""collecting water to bring it back to the wooden storage buckets. Each person needs to collect one bucket for each level. The fast they are, the more points they get.""}"
71,"{""instructions2"":""when all 8 people collect water and put it in the wooden storage bucket""}"
71,"{""instructions3"":""1""}"
69,"{""instructions1"":""collect buckets of water""}"
69,"{""instructions2"":""When all 8 people have collected water and filled their wooden storage buckets""}"
69,"{""instructions3"":""one""}"
7,"{""instructions1"":""They are trying to collect water from a source and bring it back to the wooden storage buckets.""}"
7,"{""instructions2"":""The video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
7,"{""instructions3"":""I will focus on one person.""}"
72,"{""instructions1"":""Collecting water from the source to the storage buckets""}"
72,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
72,"{""instructions3"":""One""}"
73,"{""instructions1"":""Collect water from a water source and bring back to a wooden storage bucket as quickly as possible""}"
73,"{""instructions2"":""The video will end when all 8 people collect water and store it in a wooden bucket""}"
73,"{""instructions3"":""1""}"
76,"{""instructions1"":""To retrieve some water and put it in a storage bucket as fast as possible.""}"
76,"{""instructions2"":""When all 8 people in the video are finished collecting and storing their water.""}"
76,"{""instructions3"":""One""}"
79,"{""instructions1"":""to collect one bucket of water ""}"
79,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
79,"{""instructions3"":""one person""}"
8,"{""instructions1"":""To collect a bucket of water per level.""}"
8,"{""instructions2"":""When all 8 people collect water and store it in the wooden bucket.""}"
8,"{""instructions3"":""One person""}"
83,"{""instructions1"":""To collect water and bring it back to the wooden storage buckets""}"
83,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
83,"{""instructions3"":""One""}"
84,"{""instructions1"":""To fill water storage buckets as quickly as possible.""}"
84,"{""instructions2"":""When all participant has moved water to the storage bucket.""}"
84,"{""instructions3"":""One person""}"
85,"{""instructions1"":""to collect water and bring it back to the wooden storage buckets""}"
85,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
85,"{""instructions3"":""1""}"
86,"{""instructions1"":""collect buckets of water""}"
86,"{""instructions2"":""everyone collected and stored water""}"
86,"{""instructions3"":""1""}"
87,"{""instructions1"":""collect water and bring to storage""}"
87,"{""instructions2"":""when all people collect and store the water""}"
87,"{""instructions3"":""one""}"
91,"{""instructions1"":""To collect at least one bucket of water per level from a source and bring it back to storage buckets""}"
91,"{""instructions2"":""When all 8 people collect water and place it in the storage bucket.""}"
91,"{""instructions3"":""one person""}"
92,"{""instructions1"":""Collecting one bucket of water as fast as they can.""}"
92,"{""instructions2"":""When all 8 people have collected water and stored it in a wooden storage bucket.""}"
92,"{""instructions3"":""One""}"
90,"{""instructions1"":""The goal is to collect water from the water source and bring it back to the wooden storage buckets.""}"
90,"{""instructions2"":""Each video ends when all 8 people collect water and store it in a wooden storage bucket.""}"
90,"{""instructions3"":""one person""}"
93,"{""instructions1"":""To collect water and bring it back to wooden storage buckets.""}"
93,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
93,"{""instructions3"":""1""}"
94,"{""instructions1"":""collect one bucket of water on each level""}"
94,"{""instructions2"":""When all eight characters have collected water and stored it in the bucket""}"
94,"{""instructions3"":""1""}"
95,"{""instructions1"":""To collect water from a water source. The faster to collect the more point. To collect one bucket of water for each level.""}"
95,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
95,"{""instructions3"":""1""}"
